Name,color_wine,Price,ml,Rating,RatingNum,Country,ABV,img
Casillero del Diablo Cabernet Sauvignon 2020,Red Wine,9.99,750,0,0,Cabernet Sauvignon from Chile,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFWNpnv93PTWthM66VMnY3x06fp5kUUCCPJkdxzKKUaUnLms7VNUys4vpFbQ&s
Cavit Pinot Grigio 2021,White Wine,9.99,750,4,20,Pinot Gris /Grigio from Trentino-Alto Adige / Italy,12.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6q0_9JROZaH_OcxidChOo1hswdOS1mBChBFa6d7_kmUgQ7nDZ4l4TIC0qaT8&s
Chateau Ste. Michelle Harvest Select Sweet Riesling 2021,White Wine,9.99,750,4.5,20,Riesling from Columbia Valley / Washington,10.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRTy2IC6cFpEnzmME8woJz54s8Ezz7-P7X3HdZBY-Js2S-0yW4XrF7bkYISw&s
Cupcake Vineyards Pinot Noir 2020,Red Wine,9.99,750,4.1,5,Pinot Noir from Central Coast / California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNALgP7UmKRFku6xMlcpBEsBHQCPN6x6wGDr-WsQeLxguv2NjWxtYmFRRiADg&s
Cupcake Vineyards Cabernet Sauvignon 2020,Red Wine,9.99,750,0,0,Cabernet Sauvignon from Central Coast / California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQahTKjv7UAegGqDQht37prw9rspIcsSIwHvHFnWllNf2XFoAPGIN144XwpHTA&s
Dark Horse Merlot 2020,Red Wine,9.99,750,4.2,9,Merlot from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDplIfEmnP8mXC0TkcOJ0bhLXXMEmMt9XWkZFRTLYc2mG_VsowI5Jdh1g28Q&s
Dark Horse Rose 2020,Pink and Rosé,9.99,750,3.5,25,Rosé from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAw9-Xtyj40iINeo1sRx4Nuccnt8ToEgv-GPnf_aT2QPwn7WcFW2s6qLJSWg&s
Dark Horse Big Red Blend,Red Wine,9.99,750,3.7,686,Other Red Blends from California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7lk88pod7fQuGzehZCCEHXjhwK2tFz003NDIZIbjlss5Bw40tJRHu2EpNyw&s
Dark Horse Pinot Noir 2020,Red Wine,9.99,750,3.6,8,Pinot Noir from California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTX1LNuyY3ddoUjFCRleEStkwwy-SZhm8ir4-pxNIJkAVmD4BsttT5rIfDh6pM&s
Domaine De La Chanade Les Rials 2020,White Wine,9.99,750,4.2,40,Other White Wine from France,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSSb4wkFGU-nz6hapqqIr8NjIaNy6D12SaZfa_9m91SX1qHSmwvUIR0rIfPg&s
